Date,Country,State,Activity,Sex,Age,Deceased,standarized_country,Month,Year,Decade,Season
2015-08-01,usa,FLORIDA,Unspecific,M,,UNKNOWN,United States,August,2015.0,2010.0,Summer
2015-08-01,australia,NEW SOUTH WALES,surfing,M,38.0,N,Australia,August,2015.0,2010.0,Winter
2015-08-01,usa,SOUTH CAROLINA,surfing,M,15.0,N,United States,August,2015.0,2010.0,Summer
2015-08-01,usa,FLORIDA,Unspecific,F,10.0,N,United States,August,2015.0,2010.0,Summer
2015-08-01,usa,CALIFORNIA,fishing,M,22.0,N,United States,August,2015.0,2010.0,Summer
2015-08-01,spain,ALICANTE,swimming,M,10.0,UNKNOWN,Spain,August,2015.0,2010.0,Summer
2015-08-01,usa,CALIFORNIA,fishing,M,57.0,N,United States,August,2015.0,2010.0,Summer
2015-07-01,australia,NEW SOUTH WALES,surfing,M,52.0,N,Australia,July,2015.0,2010.0,Winter
2015-07-01,costa rica,GUANACASTE,surfing,M,47.0,N,Costa Rica,July,2015.0,2010.0,Summer
2015-07-01,australia,VICTORIA,surfing,M,40.0,UNKNOWN,Australia,July,2015.0,2010.0,Winter
2015-07-01,usa,FLORIDA,surfing,M,25.0,N,United States,July,2015.0,2010.0,Summer
2015-07-01,usa,SOUTH CAROLINA,Unspecific,F,35.0,UNKNOWN,United States,July,2015.0,2010.0,Summer
2015-07-01,australia,TASMANIA,diving,M,46.0,Y,Australia,July,2015.0,2010.0,Winter
2015-07-01,usa,CALIFORNIA,fishing,M,31.0,N,United States,July,2015.0,2010.0,Summer
2015-07-01,australia,VICTORIA,surfing,M,40.0,N,Australia,July,2015.0,2010.0,Winter
2015-07-01,reunion,,surfing,M,45.0,N,Reunion,July,2015.0,2010.0,Unknown
2015-07-01,south africa,EASTERN CAPE PROVINCE,surfing,M,34.0,N,South Africa,July,2015.0,2010.0,Winter
2015-07-01,usa,CALIFORNIA,surfing,M,38.0,N,United States,July,2015.0,2010.0,Summer
2015-07-01,usa,CALIFORNIA,Unspecific,M,39.0,UNKNOWN,United States,July,2015.0,2010.0,Summer
2015-07-01,french polynesia,BORA BORA,swimming,M,,UNKNOWN,French Polynesia,July,2015.0,2010.0,Unknown
2015-07-01,bahamas,GRAND BAHAMA ISLAND,fishing,F,23.0,N,Bahamas,July,2015.0,2010.0,Summer
2015-07-01,usa,NORTH CAROLINA,Unspecific,M,32.0,N,United States,July,2015.0,2010.0,Summer
2015-07-01,australia,NEW SOUTH WALES,boarding,M,32.0,N,Australia,July,2015.0,2010.0,Winter
2015-07-01,usa,NORTH CAROLINA,swimming,M,68.0,N,United States,July,2015.0,2010.0,Summer
2015-06-01,australia,NEW SOUTH WALES,surfing,M,,N,Australia,June,2015.0,2010.0,Winter
2015-06-01,usa,SOUTH CAROLINA,Unspecific,M,12.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,NORTH CAROLINA,swimming,M,18.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,south africa,WESTERN CAPE PROVINCE,boarding,M,19.0,N,South Africa,June,2015.0,2010.0,Winter
2015-06-01,usa,FLORIDA,swimming,F,,UNKNOWN,United States,June,2015.0,2010.0,Summer
2015-06-01,south africa,WESTERN CAPE PROVINCE,surfing,M,23.0,N,South Africa,June,2015.0,2010.0,Winter
2015-06-01,usa,SOUTH CAROLINA,Unspecific,M,43.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,australia,WESTERN AUSTRALIA,swimming,M,19.0,N,Australia,June,2015.0,2010.0,Winter
2015-06-01,usa,NORTH CAROLINA,surfing,M,47.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,NORTH CAROLINA,swimming,M,6.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,australia,WESTERN AUSTRALIA,surfing,F,37.0,N,Australia,June,2015.0,2010.0,Winter
2015-06-01,usa,SOUTH CAROLINA,Unspecific,M,9.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,puerto rico,,fishing,M,36.0,N,Puerto Rico,June,2015.0,2010.0,Summer
2015-06-01,usa,FLORIDA,swimming,M,10.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,NORTH CAROLINA,wading,M,16.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,NORTH CAROLINA,wading,F,12.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,CALIFORNIA,Unspecific,F,,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,NORTH CAROLINA,boarding,F,13.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,FLORIDA,Unspecific,M,11.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,usa,FLORIDA,Unspecific,F,17.0,N,United States,June,2015.0,2010.0,Summer
2015-06-01,reunion,LE PORT,surfing,M,47.0,N,Reunion,June,2015.0,2010.0,Unknown
2015-05-01,usa,FLORIDA,Unspecific,F,14.0,N,United States,May,2015.0,2010.0,Spring
2015-05-01,usa,FLORIDA,wading,F,19.0,N,United States,May,2015.0,2010.0,Spring
2015-05-01,french polynesia,RANGIROA,fishing,M,19.0,N,French Polynesia,May,2015.0,2010.0,Unknown
2015-05-01,usa,FLORIDA,swimming,F,13.0,N,United States,May,2015.0,2010.0,Spring
,usa,FLORIDA,surfing,M,18.0,N,United States,,,,Unknown
2015-05-01,usa,SOUTH CAROLINA,Unspecific,M,30.0,N,United States,May,2015.0,2010.0,Spring
2015-05-01,new caledonia,,diving,M,50.0,Y,New Caledonia,May,2015.0,2010.0,Unknown
2015-05-01,usa,FLORIDA,swimming,M,,N,United States,May,2015.0,2010.0,Spring
2015-05-01,australia,NEW SOUTH WALES,surfing,M,,N,Australia,May,2015.0,2010.0,Autumn
2015-05-01,south africa,EASTERN CAPE PROVINCE,diving,M,29.0,N,South Africa,May,2015.0,2010.0,Autumn
2015-04-01,usa,HAWAII,diving,F,65.0,Y,United States,April,2015.0,2010.0,Spring
2015-04-01,usa,FLORIDA,wading,M,63.0,N,United States,April,2015.0,2010.0,Spring
2015-04-01,australia,SOUTH AUSTRALIA,surfing,M,26.0,N,Australia,April,2015.0,2010.0,Autumn
2015-06-01,australia,NEW SOUTH WALES,surfing,M,71.0,N,Australia,June,2015.0,2010.0,Winter
2015-04-01,usa,FLORIDA,Unspecific,M,48.0,N,United States,April,2015.0,2010.0,Spring
2015-04-01,reunion,SAINT-GILLES-LES-BAINS,surfing,M,13.0,Y,Reunion,April,2015.0,2010.0,Unknown
2015-04-01,australia,NEW SOUTH WALES,kayaking,M,,N,Australia,April,2015.0,2010.0,Autumn
2015-04-01,usa,FLORIDA,fishing,M,70.0,N,United States,April,2015.0,2010.0,Spring
2015-03-01,italy,SARDINIA,diving,M,43.0,UNKNOWN,Italy,March,2015.0,2010.0,Spring
2015-03-01,brazil,PERNAMBUCO,surfing,M,23.0,UNKNOWN,Brazil,March,2015.0,2010.0,Autumn
2015-03-01,south africa,EASTERN CAPE PROVINCE,fishing,M,36.0,N,South Africa,March,2015.0,2010.0,Autumn
2015-03-01,egypt,RED SEA PROTECTORATE,swimming,M,52.0,Y,Egypt,March,2015.0,2010.0,Unknown
2015-03-01,usa,HAWAII,diving,M,58.0,N,United States,March,2015.0,2010.0,Spring
2015-03-01,french polynesia,BORA BORA,Unspecific,M,9.0,N,French Polynesia,March,2015.0,2010.0,Unknown
2015-03-01,australia,NEW SOUTH WALES,fishing,M,,N,Australia,March,2015.0,2010.0,Autumn
2015-03-01,mexico,SINALOA,fishing,M,36.0,N,Mexico,March,2015.0,2010.0,Spring
2015-03-01,french polynesia,CENTRAL TUAMOTU,Unspecific,M,,N,French Polynesia,March,2015.0,2010.0,Unknown
2015-02-01,atlantic ocean,,Unspecific,UNKNOWN,,N,Atlantic Ocean,February,2015.0,2010.0,Unknown
2015-02-01,reunion,D’ÉTANG-SALÉ,swimming,F,22.0,Y,Reunion,February,2015.0,2010.0,Unknown
2015-02-01,australia,NEW SOUTH WALES,surfing,M,41.0,Y,Australia,February,2015.0,2010.0,Summer
2015-02-01,australia,NEW SOUTH WALES,surfing,M,35.0,N,Australia,February,2015.0,2010.0,Summer
2015-02-01,australia,NEW SOUTH WALES,surfing,M,,N,Australia,February,2015.0,2010.0,Summer
2015-01-01,australia,QUEENSLAND,Unspecific,M,57.0,N,Australia,January,2015.0,2010.0,Summer
2015-01-01,usa,HAWAII,fishing,M,20.0,N,United States,January,2015.0,2010.0,Winter
2015-01-01,australia,NEW SOUTH WALES,surfing,M,,N,Australia,January,2015.0,2010.0,Summer
2015-01-01,south africa,EASTERN CAPE PROVINCE,Unspecific,M,24.0,N,South Africa,January,2015.0,2010.0,Summer
2015-01-01,usa,FLORIDA,fishing,M,,N,United States,January,2015.0,2010.0,Winter
2015-01-01,australia,NEW SOUTH WALES,surfing,F,,UNKNOWN,Australia,January,2015.0,2010.0,Summer
2015-01-01,australia,NEW SOUTH WALES,fishing,M,,N,Australia,January,2015.0,2010.0,Summer
2015-01-01,australia,NEW SOUTH WALES,Unspecific,M,17.0,N,Australia,January,2015.0,2010.0,Summer
2015-01-01,usa,FLORIDA,swimming,M,38.0,UNKNOWN,United States,January,2015.0,2010.0,Winter
2015-01-01,bahamas,ABACO ISLANDS,diving,F,34.0,N,Bahamas,January,2015.0,2010.0,Winter
2015-01-01,south africa,EASTERN CAPE PROVINCE,surfing,M,15.0,N,South Africa,January,2015.0,2010.0,Summer
