Date,Country,State,Activity,Sex,Age,Deceased,Month,Year
2021-06-01,usa,FLORIDA,Unspecific,M,12.0,N,June,2021.0
2021-06-01,usa,FLORIDA,swimming,M,14.0,N,June,2021.0
2021-06-01,usa,FLORIDA,Unspecific,M,71.0,N,June,2021.0
2021-06-01,england,WEST SUSSEX,fishing,M,51.0,N,June,2021.0
2021-06-01,australia,WESTERN AUSTRALIA,diving,M,10.0,N,June,2021.0
2021-05-01,new caledonia,NOUVILLE,fishing,M,,Y,May,2021.0
2021-05-01,usa,SOUTH CAROLINA,swimming,M,26.0,N,May,2021.0
2021-05-01,australia,WESTERN AUSTRALIA,fishing,M,48.0,N,May,2021.0
2021-05-01,australia,NEW SOUTH WALES,surfing,M,59.0,Y,May,2021.0
2021-05-01,usa,HAWAII,Unspecific,M,35.0,N,May,2021.0
2021-05-01,belize,AMBERGRIS KEY,Unspecific,M,57.0,N,May,2021.0
2021-05-01,usa,FLORIDA,wading,F,21.0,N,May,2021.0
2021-05-01,usa,HAWAII,surfing,M,14.0,N,May,2021.0
2021-05-01,jamaica,WESTMORELAND PARISH,fishing,M,53.0,Y,May,2021.0
2021-04-01,usa,FLORIDA,surfing,F,64.0,N,April,2021.0
2021-04-01,usa,FLORIDA,boarding,M,54.0,N,April,2021.0
2021-04-01,french polynesia,TAHITI,kayaking,M,25.0,N,April,2021.0
2021-04-01,new caledonia,,kayaking,M,53.0,Y,April,2021.0
2021-04-01,usa,HAWAII,swimming,F,57.0,N,April,2021.0
2021-04-01,australia,WESTERN AUSTRALIA,Unspecific,M,,N,April,2021.0
2021-04-01,usa,NORTH CAROLINA,Unspecific,Unknown,,N,April,2021.0
2021-04-01,south africa,KWAZULU-NATAL,fishing,M,38.0,N,April,2021.0
2021-04-01,south africa,EASTERN CAPE PROVINCE,boarding,M,38.0,Y,April,2021.0
2021-04-01,usa,FLORIDA,swimming,M,36.0,N,April,2021.0
2021-03-01,usa,FLORIDA,Unspecific,M,,N,March,2021.0
2021-03-01,australia,WESTERN AUSTRALIA,fishing,M,27.0,N,March,2021.0
